source_match,nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,37,87,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,13.004001998901368,-80.26213598251343,2.0,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN_vs_DARKO-JORGIC,ALEXIS-LEBRUN,88,112,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,308,335,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,18.01613044738769,-88.00837462743124,2.0,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN_vs_DARKO-JORGIC,ALEXIS-LEBRUN,336,350,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,22.14990463256836,87.25736592610677,2.0,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,351,361,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,topspin,-63.40912880897522,-131.63723723888398,2.0,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN_vs_DARKO-JORGIC,ALEXIS-LEBRUN,607,616,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,53.06508712768554,58.24883117675781,2.0,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,617,640,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN_vs_DARKO-JORGIC,ALEXIS-LEBRUN,790,819,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,-34.43202781677246,63.68615455627442,2.0,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,820,832,garcon,revers,1,att/att,DARKO-JORGIC,,defensif,m2,,poussette,-2.4740718841552733,-61.440353584289554,2.0,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN_vs_DARKO-JORGIC,ALEXIS-LEBRUN,833,850,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,7.036357879638672,105.77894605000814,2.0,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,851,864,garcon,revers,1,att/att,DARKO-JORGIC,,offensif,m2,,topspin,15.724590301513672,-62.04608879089356,2.0,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN_vs_DARKO-JORGIC,ALEXIS-LEBRUN,865,884,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN_vs_DARKO-JORGIC,DARKO-JORGIC,1171,1196,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,-18.73096427917481,-57.23584938049317,2.0,DARKO-JORGIC,ALEXIS-LEBRUN
